source,etype,target,date
720233,0,781674,2017-10-10 00:33:16
737086,0,720233,2017-10-13 08:55:51
715568,0,720233,2017-10-15 05:21:20
720233,0,682889,2017-10-21 10:53:50
683818,0,720233,2017-10-24 09:56:48
720233,0,771695,2017-10-27 05:18:56
726087,0,720233,2017-10-29 13:44:51
720233,0,744547,2017-10-29 22:18:52
682688,0,720233,2017-10-29 22:20:25
720233,0,713357,2017-10-30 18:08:22
720233,0,767428,2017-11-01 06:12:52
178026,0,720233,2017-11-05 23:35:00
720233,0,178026,2017-11-07 23:35:00
661138,0,720233,2017-11-08 02:08:54
720233,0,704069,2017-11-08 02:09:31
720233,0,178026,2017-11-08 23:35:00
720233,0,717611,2017-11-11 18:34:13
734841,0,720233,2017-11-13 00:58:34
578795,0,720233,2017-11-24 06:16:48
720233,0,552475,2017-11-24 06:17:21
720233,0,178026,2017-11-28 23:35:00
716499,0,720233,2017-11-29 19:47:33
720233,0,713154,2017-12-04 09:13:22
669784,0,720233,2017-12-04 15:03:35
720233,0,967476,2017-12-04 15:03:52
720233,0,712567,2017-12-05 10:47:29
528750,0,720233,2017-12-06 23:03:54
720233,1,659652,2017-10-08 01:49:05
722700,1,720233,2017-10-10 00:32:53
720233,1,825410,2017-10-11 02:39:27
971406,1,720233,2017-10-11 02:40:15
714801,1,720233,2017-10-12 23:10:53
720233,1,736284,2017-10-12 23:11:03
675560,1,720233,2017-10-13 08:55:28
720233,1,674480,2017-10-15 05:21:10
720233,1,842304,2017-10-16 11:48:50
720233,1,716757,2017-10-16 11:49:19
720233,1,677710,2017-10-21 10:54:30
720233,1,721402,2017-10-24 09:56:13
1022146,1,720233,2017-10-27 05:18:39
720233,1,752485,2017-10-30 13:03:39
831844,1,720233,2017-10-30 13:04:46
960770,1,720233,2017-10-30 18:08:55
720233,1,706399,2017-11-01 06:13:02
720233,1,717263,2017-11-03 00:00:44
936777,1,720233,2017-11-08 12:32:33
703554,1,720233,2017-11-11 18:33:31
720233,1,710217,2017-11-13 00:58:20
720233,1,965325,2017-11-15 18:01:52
713743,1,720233,2017-11-15 18:02:10
640357,1,720233,2017-11-16 19:41:40
687328,1,720233,2017-11-20 00:52:49
720233,1,786585,2017-11-20 00:52:50
720618,1,720233,2017-11-28 05:31:26
720233,1,735833,2017-11-29 19:48:06
702075,1,720233,2017-12-01 12:18:11
596268,1,720233,2017-12-05 10:48:03
720233,1,620450,2017-12-05 16:37:55
835931,1,720233,2017-12-05 16:38:05
720233,1,665720,2017-12-06 23:03:24
720233,2,2038031,2017-11-06 23:35:00
