source,etype,target,date
437025,0,1172172,2017-05-13 03:51:02
437025,0,1172172,2017-05-14 03:51:02
1172172,0,437025,2017-05-24 03:51:02
437025,0,1172172,2017-06-03 03:51:02
437025,0,1172172,2017-06-04 03:51:02
437025,0,1172172,2017-06-05 03:51:02
437025,0,709333,2017-06-07 15:56:41
437025,0,1172172,2017-06-08 03:51:02
1172172,0,437025,2017-06-08 03:51:02
437025,0,1172172,2017-06-11 03:51:02
695605,1,437025,2017-05-09 07:19:27
679150,1,437025,2017-05-09 07:20:46
437025,1,729255,2017-06-07 15:55:30
673131,1,437025,2017-06-26 21:07:00
437025,2,2037766,2017-06-03 03:51:02
437025,2,2040565,2017-06-07 15:56:41
