source,etype,target,date
824270,0,706280,2017-08-03 05:15:17
706280,0,1963161,2017-08-03 05:16:00
631054,0,706280,2017-08-06 06:07:55
706280,0,709888,2017-08-06 14:58:06
706280,0,697211,2017-08-10 05:58:50
706280,0,544419,2017-08-10 15:05:56
647807,0,706280,2017-08-10 15:06:10
706280,0,649985,2017-08-14 13:07:01
581516,0,706280,2017-08-14 13:07:42
1000753,0,706280,2017-08-16 10:02:42
706280,0,612707,2017-08-18 14:24:23
672287,0,706280,2017-08-18 14:25:21
716653,0,706280,2017-08-18 16:18:16
662862,0,706280,2017-08-28 03:48:59
706280,0,959087,2017-08-28 03:49:00
706280,0,712073,2017-08-29 01:51:02
713855,0,706280,2017-08-31 10:13:04
706280,0,716939,2017-08-31 10:14:37
706280,0,715883,2017-09-04 10:19:52
717928,0,706280,2017-09-10 08:59:27
741085,0,706280,2017-09-10 18:45:44
706280,0,1009281,2017-09-10 18:46:15
937999,0,706280,2017-09-12 23:49:34
732674,0,706280,2017-09-13 06:31:32
706280,0,713919,2017-09-13 19:39:26
706280,0,660320,2017-09-17 18:13:40
706280,0,620437,2017-09-19 05:43:31
567581,0,706280,2017-09-19 05:44:29
706280,0,706044,2017-09-20 20:07:57
648132,0,706280,2017-09-20 20:08:11
706280,0,776147,2017-09-21 03:33:41
706280,0,1022424,2017-09-25 00:40:17
954419,0,706280,2017-09-25 00:40:53
706280,0,683850,2017-09-25 17:09:23
680759,0,706280,2017-09-26 10:19:26
687030,0,706280,2017-09-26 16:32:32
706280,0,686710,2017-09-27 16:39:21
705288,0,706280,2017-09-30 14:55:56
706280,1,890160,2017-07-31 13:06:22
710556,1,706280,2017-07-31 13:06:47
706280,1,714643,2017-08-01 05:38:43
706280,1,760007,2017-08-02 21:18:33
706280,1,773280,2017-08-02 21:19:07
714027,1,706280,2017-08-04 06:49:24
706280,1,892251,2017-08-06 06:07:24
913860,1,706280,2017-08-06 14:56:39
723436,1,706280,2017-08-06 17:49:36
706280,1,713876,2017-08-07 13:04:23
659439,1,706280,2017-08-10 05:59:15
743337,1,706280,2017-08-12 06:38:23
706280,1,703994,2017-08-12 06:39:02
967505,1,706280,2017-08-13 11:39:49
1002018,1,706280,2017-08-18 16:18:05
564581,1,706280,2017-08-19 10:05:35
690761,1,706280,2017-08-19 18:41:18
706280,1,603364,2017-08-20 04:11:11
813778,1,706280,2017-08-24 17:10:25
706280,1,1376868,2017-08-24 22:32:02
725659,1,706280,2017-08-24 22:32:16
706280,1,660726,2017-08-29 01:51:02
706280,1,717327,2017-08-31 21:00:13
904307,1,706280,2017-09-01 14:46:05
706280,1,713619,2017-09-01 14:46:45
616439,1,706280,2017-09-04 10:19:37
985810,1,706280,2017-09-06 10:16:34
706280,1,656858,2017-09-10 08:59:37
894187,1,706280,2017-09-12 18:38:49
709939,1,706280,2017-09-12 23:49:58
706280,1,695100,2017-09-13 06:30:23
672996,1,706280,2017-09-13 19:39:25
706280,1,546584,2017-09-17 14:20:17
713138,1,706280,2017-09-17 14:20:45
712131,1,706280,2017-09-17 18:14:23
165479,1,706280,2017-09-18 20:09:57
706280,1,763189,2017-09-18 20:11:05
650111,1,706280,2017-09-19 16:56:12
767776,1,706280,2017-09-21 03:34:00
683335,1,706280,2017-09-22 06:28:29
706280,1,730595,2017-09-22 06:28:50
562270,1,706280,2017-09-23 12:56:46
732534,1,706280,2017-09-25 17:09:38
821195,1,706280,2017-09-26 10:20:12
706280,1,696946,2017-09-26 16:31:57
748198,1,706280,2017-09-27 16:39:15
706280,1,829453,2017-09-27 16:57:40
576084,1,706280,2017-09-28 12:43:05
706280,1,733244,2017-09-28 12:44:39
706280,1,725571,2017-09-30 14:56:19
706280,2,2037694,2017-08-31 10:14:37
