source,etype,target,date
659920,0,688974,2016-02-15 20:30:11
688974,0,622805,2016-02-26 19:48:23
618783,0,688974,2016-03-04 23:00:51
697902,0,688974,2016-03-08 11:06:03
688974,0,728986,2016-03-08 11:06:22
688974,0,616396,2016-03-11 01:07:20
735771,0,688974,2016-03-11 01:08:25
722910,0,688974,2016-03-17 05:20:11
688974,0,713997,2016-03-17 05:20:58
766769,0,688974,2016-03-23 07:13:36
698626,0,688974,2016-03-29 09:12:19
688974,0,604913,2016-03-29 09:12:59
688974,0,684752,2016-04-05 15:01:17
713094,0,688974,2016-04-05 15:01:22
688974,0,621062,2016-04-08 07:01:59
701417,0,688974,2016-04-08 07:03:19
688974,0,720943,2016-04-09 01:48:40
688974,0,692772,2016-04-10 17:50:40
688974,0,715393,2016-04-14 15:06:02
688974,1,725924,2016-02-15 06:05:36
688974,1,722395,2016-02-15 20:30:12
700085,1,688974,2016-02-20 10:37:37
709668,1,688974,2016-02-26 11:42:19
688974,1,726066,2016-02-26 11:43:20
688974,1,635087,2016-02-26 19:49:34
688974,1,745462,2016-03-04 23:01:51
688974,1,716731,2016-03-23 07:12:39
737025,1,688974,2016-03-28 04:12:34
688974,1,772868,2016-03-28 04:12:38
688974,1,731767,2016-04-05 01:01:14
688974,1,729498,2016-04-05 01:01:29
688974,1,688154,2016-04-06 19:09:49
688974,1,740677,2016-04-09 01:48:39
677146,1,688974,2016-04-10 17:51:00
688974,1,713701,2016-04-16 14:33:46
688974,2,2040565,2016-02-26 19:48:23
688974,2,2040565,2016-03-11 01:07:20
688974,2,2038128,2016-03-17 05:20:58
688974,2,2040565,2016-03-29 09:12:59
