source,etype,target,date
758683,0,1172172,2017-07-26 03:51:02
758683,0,1172172,2017-07-27 03:51:02
1172172,0,758683,2017-08-05 03:51:02
758683,0,1172172,2017-08-06 03:51:02
1172172,0,758683,2017-08-06 03:51:02
758683,0,736927,2017-08-14 23:37:40
957467,0,758683,2017-08-14 23:37:52
713052,0,758683,2017-08-31 13:43:08
758683,0,650478,2017-08-31 13:43:47
758683,0,644775,2017-09-03 22:06:23
758683,0,1172172,2017-09-05 03:51:02
758683,0,1172172,2017-09-06 03:51:02
758683,0,1172172,2017-09-08 03:51:02
738203,1,758683,2017-07-11 07:36:25
731436,1,758683,2017-07-17 15:36:26
758683,1,730781,2017-07-17 15:36:31
758683,1,714237,2017-08-07 19:17:16
698562,1,758683,2017-08-07 19:17:43
758683,1,755325,2017-08-12 23:24:06
758683,2,2037861,2017-08-10 03:51:02
