source,etype,target,date
700570,0,716983,2017-06-03 22:32:32
700570,0,535062,2017-06-12 07:19:12
762317,0,700570,2017-06-12 07:19:52
738968,0,700570,2017-06-13 20:55:41
700570,0,735555,2017-06-13 20:55:56
566628,0,700570,2017-06-15 12:36:28
700570,0,638988,2017-06-15 12:37:42
567163,0,700570,2017-06-16 05:40:39
840986,0,700570,2017-06-23 07:06:56
700570,0,662509,2017-07-02 17:46:14
597283,0,700570,2017-07-02 17:47:01
700570,0,674702,2017-07-04 01:23:21
636838,0,700570,2017-07-06 21:53:33
556591,0,700570,2017-07-06 21:54:15
700570,0,696259,2017-07-14 09:14:22
782536,0,700570,2017-07-14 09:15:22
700570,0,725360,2017-07-15 05:10:54
700570,0,614801,2017-07-17 23:53:46
735201,0,700570,2017-07-17 23:54:34
958605,0,700570,2017-07-23 00:38:22
700570,0,763419,2017-07-23 00:38:36
700570,0,802982,2017-07-28 10:48:47
651310,1,700570,2017-06-03 22:32:11
771586,1,700570,2017-06-06 11:12:46
700570,1,705707,2017-06-07 22:32:32
712955,1,700570,2017-06-07 22:32:40
756495,1,700570,2017-06-14 22:40:14
700570,1,791830,2017-06-14 22:40:34
700570,1,581795,2017-06-16 05:40:21
712810,1,700570,2017-06-21 20:55:46
700570,1,719830,2017-06-23 07:07:33
700570,1,964519,2017-06-24 03:05:19
534893,1,700570,2017-06-24 03:06:01
762033,1,700570,2017-07-04 01:23:15
571987,1,700570,2017-07-06 17:24:40
700570,1,374674,2017-07-06 17:25:02
700570,1,736224,2017-07-10 11:31:54
695226,1,700570,2017-07-10 11:32:09
718820,1,700570,2017-07-10 19:39:36
700570,1,585782,2017-07-15 05:10:38
714593,1,700570,2017-07-19 08:46:04
700570,1,565152,2017-07-20 14:51:47
700570,1,749238,2017-07-21 06:07:10
684455,1,700570,2017-07-28 10:48:21
700570,2,2037688,2017-07-02 17:46:14
700570,2,2040565,2017-07-15 05:10:54
