source,etype,target,time,date
707840,0,705641,480121,2015-05-17 03:22:01
715237,0,707840,500145,2015-05-17 08:55:45
707840,0,714711,506886,2015-05-17 10:48:06
707840,0,712753,514027,2015-05-17 12:47:07
707393,0,707840,684568,2015-05-19 12:09:28
713563,0,707840,686465,2015-05-19 12:41:05
707840,0,716406,750175,2015-05-20 06:22:55
707360,0,707840,776096,2015-05-20 13:34:56
718537,0,707840,851851,2015-05-21 10:37:31
712574,0,707840,860189,2015-05-21 12:56:29
713701,0,707840,860198,2015-05-21 12:56:38
704350,0,707840,915005,2015-05-22 04:10:05
718154,0,707840,971614,2015-05-22 19:53:34
714769,0,707840,997536,2015-05-23 03:05:36
707840,0,715928,997551,2015-05-23 03:05:51
705509,0,707840,1086063,2015-05-24 03:41:03
707840,0,708512,1167048,2015-05-25 02:10:48
707840,0,709498,1196985,2015-05-25 10:29:45
713194,0,707840,1206954,2015-05-25 13:15:54
707840,0,715058,1241453,2015-05-25 22:50:53
713113,0,707840,1257936,2015-05-26 03:25:36
713474,0,707840,1395017,2015-05-27 17:30:17
707840,0,716092,1412547,2015-05-27 22:22:27
1963161,0,707840,1412570,2015-05-27 22:22:50
707840,0,709439,1413392,2015-05-27 22:36:32
707840,0,702735,1441502,2015-05-28 06:25:02
715579,0,707840,1441505,2015-05-28 06:25:05
719130,0,707840,1540400,2015-05-29 09:53:20
707840,0,715126,1545129,2015-05-29 11:12:09
713701,0,707840,1596459,2015-05-30 01:27:39
710754,0,707840,1663318,2015-05-30 20:01:58
710698,0,707840,1776291,2015-06-01 03:24:51
707840,0,713173,1776341,2015-06-01 03:25:41
710163,0,707840,2458148,2015-06-09 00:49:08
725397,0,707840,2531661,2015-06-09 21:14:21
707840,0,707484,2619777,2015-06-10 21:42:57
713468,0,707840,2619784,2015-06-10 21:43:04
707840,0,711209,2684673,2015-06-11 15:44:33
718489,0,707840,2739858,2015-06-12 07:04:18
707840,0,1376868,2777958,2015-06-12 17:39:18
710189,0,707840,2777996,2015-06-12 17:39:56
707840,0,699843,2802099,2015-06-13 00:21:39
707840,0,706164,2922789,2015-06-14 09:53:09
707840,0,710470,3003828,2015-06-15 08:23:48
707840,0,731420,3085533,2015-06-16 07:05:33
707840,0,707156,3095446,2015-06-16 09:50:46
707840,0,713929,3095457,2015-06-16 09:50:57
703778,0,707840,3106637,2015-06-16 12:57:17
707840,0,701306,3106653,2015-06-16 12:57:33
713725,0,707840,3107719,2015-06-16 13:15:19
707840,0,714604,3107763,2015-06-16 13:16:03
721471,0,707840,3193557,2015-06-17 13:05:57
707840,0,702822,3193600,2015-06-17 13:06:40
714056,0,707840,3206194,2015-06-17 16:36:34
707840,0,720367,3315709,2015-06-18 23:01:49
707840,0,733123,3337597,2015-06-19 05:06:37
707840,0,716596,3386017,2015-06-19 18:33:37
725455,0,707840,3397844,2015-06-19 21:50:44
707840,0,719837,3397853,2015-06-19 21:50:53
702938,0,707840,3403320,2015-06-19 23:22:00
716560,0,707840,3515111,2015-06-21 06:25:11
704311,0,707840,3771223,2015-06-24 05:33:43
707840,0,695197,3823884,2015-06-24 20:11:24
736345,0,707840,3823939,2015-06-24 20:12:19
714533,0,707840,3952525,2015-06-26 07:55:25
707840,0,724876,3952527,2015-06-26 07:55:27
707840,0,700786,4014504,2015-06-27 01:08:24
720832,0,707840,4014512,2015-06-27 01:08:32
707840,0,712142,4063075,2015-06-27 14:37:55
707840,0,708629,4101953,2015-06-28 01:25:53
732416,0,707840,4232658,2015-06-29 13:44:18
707840,0,711948,4232729,2015-06-29 13:45:29
705533,0,707840,4275299,2015-06-30 01:34:59
703202,0,707840,4380984,2015-07-01 06:56:24
707840,0,707583,4380984,2015-07-01 06:56:24
736946,0,707840,4500912,2015-07-02 16:15:12
707840,0,706669,4797888,2015-07-06 02:44:48
710703,0,707840,5109985,2015-07-09 17:26:25
707840,0,716462,5159610,2015-07-10 07:13:30
735761,0,707840,5159656,2015-07-10 07:14:16
706764,0,707840,5161244,2015-07-10 07:40:44
707840,0,711141,5325724,2015-07-12 05:22:04
700120,0,707840,5325778,2015-07-12 05:22:58
703064,0,707840,5331831,2015-07-12 07:03:51
707840,0,739042,5401972,2015-07-13 02:32:52
707840,0,713294,5457899,2015-07-13 18:04:59
718347,0,707840,5466584,2015-07-13 20:29:44
707840,0,718028,5466602,2015-07-13 20:30:02
713563,0,707840,5510823,2015-07-14 08:47:03
707840,0,347669,5550967,2015-07-14 19:56:07
691007,0,707840,5550984,2015-07-14 19:56:24
707840,0,692141,5593893,2015-07-15 07:51:33
707840,0,730831,5829315,2015-07-18 01:15:15
705518,0,707840,5844710,2015-07-18 05:31:50
733739,0,707840,5855457,2015-07-18 08:30:57
707840,0,711020,5855536,2015-07-18 08:32:16
704277,0,707840,6016748,2015-07-20 05:19:08
707840,0,713767,6016761,2015-07-20 05:19:21
707840,0,723862,6132059,2015-07-21 13:20:59
717219,0,707840,6217742,2015-07-22 13:09:02
707840,0,312444,6321297,2015-07-23 17:54:57
712927,0,707840,6433945,2015-07-25 01:12:25
711276,0,707840,6632658,2015-07-27 08:24:18
707840,0,720019,6633763,2015-07-27 08:42:43
680813,0,707840,6646123,2015-07-27 12:08:43
711943,0,707840,6701013,2015-07-28 03:23:33
707840,0,734652,6936925,2015-07-30 20:55:25
739360,0,707840,6999497,2015-07-31 14:18:17
707840,0,714717,6999502,2015-07-31 14:18:22
691705,0,707840,7017546,2015-07-31 19:19:06
708939,0,707840,7137263,2015-08-02 04:34:23
707840,0,714056,7197387,2015-08-02 21:16:27
707840,0,745058,7259475,2015-08-03 14:31:15
722789,0,707840,7259546,2015-08-03 14:32:26
673211,0,707840,7379715,2015-08-04 23:55:15
714444,0,707840,7423893,2015-08-05 12:11:33
740139,0,707840,7496621,2015-08-06 08:23:41
743882,0,707840,7690890,2015-08-08 14:21:30
698838,0,707840,7720422,2015-08-08 22:33:42
707840,0,672799,7720440,2015-08-08 22:34:00
707840,1,718885,384140,2015-05-16 00:42:20
707840,1,716560,460527,2015-05-16 21:55:27
712292,1,707840,475659,2015-05-17 02:07:39
712703,1,707840,480154,2015-05-17 03:22:34
707840,1,720286,505759,2015-05-17 10:29:19
715653,1,707840,506936,2015-05-17 10:48:56
716253,1,707840,514058,2015-05-17 12:47:38
718771,1,707840,549441,2015-05-17 22:37:21
707840,1,711089,627930,2015-05-18 20:25:30
707840,1,714585,631212,2015-05-18 21:20:12
713266,1,707840,655643,2015-05-19 04:07:23
710087,1,707840,666127,2015-05-19 07:02:07
707840,1,705952,684541,2015-05-19 12:09:01
707840,1,713743,686474,2015-05-19 12:41:14
712990,1,707840,750198,2015-05-20 06:23:18
707840,1,717767,767293,2015-05-20 11:08:13
707840,1,707036,776099,2015-05-20 13:34:59
